,SoS,Depth
0,1539.04,2.7
1,1539.13,3.57
2,1539.23,4.42
3,1539.26,5.09
4,1539.3,6.11
5,1539.47,6.47
6,1539.65,7.15
7,1539.64,7.78
8,1539.9,9.03
9,1540.73,11.47
10,1541.09,13.64
11,1541.32,15.98
12,1541.41,18.42
13,1541.52,20.61
14,1541.51,22.98
15,1541.54,25.2
16,1541.54,27.62
17,1541.49,29.82
18,1541.49,32.08
19,1541.49,34.44
20,1541.58,36.65
21,1541.68,39.01
22,1541.86,41.15
23,1542.07,43.32
24,1542.23,45.9
25,1542.3,48.0
26,1542.09,50.15
27,1542.05,52.39
28,1541.89,54.77
29,1541.63,56.9
30,1541.55,59.04
31,1541.64,61.24
32,1541.63,63.49
33,1540.8,65.74
34,1540.12,67.96
35,1539.81,70.34
36,1539.12,72.5
37,1538.97,74.8
38,1538.96,76.92
39,1537.51,79.36
40,1536.86,81.75
41,1536.41,84.0
42,1536.08,86.07
43,1535.84,88.38
44,1535.57,90.84
45,1534.27,93.38
46,1533.94,95.61
47,1533.73,97.42
48,1532.4,99.89
49,1530.72,102.59
50,1529.69,104.83
51,1528.18,107.01
52,1526.75,109.27
53,1526.09,111.77
54,1525.14,114.21
55,1524.01,116.46
56,1523.58,118.93
57,1522.78,120.9
58,1522.15,123.28
59,1521.67,126.02
60,1520.0,128.19
61,1517.72,130.5
62,1515.56,132.77
63,1514.35,134.98
64,1513.7,137.33
65,1513.32,139.92
66,1513.05,141.96
67,1512.63,144.11
68,1512.18,146.27
69,1511.78,148.81
70,1511.61,151.07
71,1511.1,153.2
72,1510.62,155.52
73,1510.17,157.91
74,1510.05,160.25
75,1509.51,162.48
76,1508.92,164.74
77,1508.62,167.08
78,1508.0,169.5
79,1507.5,171.87
80,1507.22,174.03
81,1507.0,176.2
82,1506.56,178.75
83,1506.28,181.21
84,1505.38,183.5
85,1504.94,185.66
86,1504.63,187.91
87,1504.09,190.37
88,1503.67,192.85
89,1503.6,195.11
90,1503.54,197.25
91,1503.29,199.68
92,1503.1,201.96
93,1502.94,204.23
94,1502.73,206.6
95,1502.6,209.0
96,1502.55,211.22
97,1502.35,213.42
98,1502.25,215.51
99,1502.26,218.11
100,1502.21,220.69
101,1502.12,222.41
102,1502.07,224.48
103,1501.98,227.03
104,1501.89,229.57
105,1501.83,231.41
106,1501.73,233.67
107,1501.65,235.79
108,1501.58,237.98
109,1501.49,240.35
110,1501.38,242.54
111,1501.3,244.7
112,1501.21,246.8
113,1501.18,249.15
114,1501.12,251.51
115,1501.11,253.84
116,1501.08,255.91
117,1501.09,258.0
118,1501.07,260.56
119,1501.07,262.96
120,1501.11,265.09
121,1501.14,267.26
122,1501.11,269.64
123,1501.08,272.05
124,1500.88,274.35
125,1500.81,276.53
126,1500.74,278.96
127,1500.66,281.28
128,1500.64,283.58
129,1500.56,285.93
130,1500.52,288.22
131,1500.5,290.42
132,1500.5,292.87
133,1500.45,295.36
134,1500.36,297.46
135,1500.33,299.66
136,1500.32,302.06
137,1500.35,304.43
138,1500.25,306.78
139,1500.2,308.89
140,1500.17,311.28
141,1500.13,313.61
142,1500.1,315.81
143,1500.0,318.09
144,1499.89,320.41
145,1499.81,322.73
146,1499.78,324.88
147,1499.79,327.05
148,1499.79,329.35
149,1499.76,331.75
150,1499.74,334.01
151,1499.7,336.22
152,1499.68,338.62
153,1499.61,340.94
154,1499.53,343.17
155,1499.5,345.44
156,1499.51,347.66
157,1499.46,350.08
158,1499.49,352.44
159,1499.5,354.75
160,1499.5,356.99
161,1499.45,359.23
162,1499.43,361.52
163,1499.41,363.94
164,1499.39,366.29
165,1499.33,368.53
166,1499.28,370.68
167,1499.29,372.97
168,1499.27,375.57
169,1499.26,377.83
170,1499.26,379.94
171,1499.21,382.02
172,1499.08,384.62
173,1498.96,386.82
174,1498.94,389.04
175,1498.88,391.48
176,1498.84,393.55
177,1498.86,395.55
178,1498.9,398.02
179,1498.94,400.66
180,1498.96,402.5
181,1499.0,404.42
182,1499.03,406.88
183,1498.99,409.35
184,1498.9,411.22
185,1498.87,413.4
186,1498.86,415.59
187,1498.87,417.87
188,1498.84,420.07
189,1498.84,422.28
190,1498.75,424.4
191,1498.66,426.8
192,1498.55,429.1
193,1498.48,431.1
194,1498.46,433.41
195,1498.46,435.95
196,1498.43,437.89
197,1498.4,439.97
198,1498.43,442.7
199,1498.43,445.14
200,1498.46,446.99
201,1498.48,449.18
202,1498.47,451.79
203,1498.45,454.11
204,1498.47,456.4
205,1498.49,458.42
206,1498.43,460.59
207,1498.35,463.12
208,1498.31,465.73
209,1498.3,467.74
210,1498.28,469.83
211,1498.21,472.36
212,1498.16,474.9
213,1498.07,477.01
214,1497.9,478.95
215,1497.72,481.44
216,1497.62,484.08
217,1497.6,486.2
218,1497.59,488.21
219,1497.61,490.52
220,1497.5,492.94
221,1497.5,495.27
222,1497.47,497.36
223,1497.41,499.6
224,1497.37,501.76
225,1497.34,504.18
226,1497.33,506.43
227,1497.35,508.71
228,1497.31,510.8
229,1497.2,513.13
230,1497.14,515.64
231,1497.12,517.77
232,1497.1,519.81
233,1497.0,522.32
234,1497.02,524.7
235,1497.01,526.91
236,1497.02,529.2
237,1497.02,531.36
238,1496.9,533.55
239,1496.84,536.15
240,1496.85,538.48
241,1496.85,540.59
242,1496.89,542.73
243,1496.84,545.13
244,1496.79,547.58
245,1496.73,549.82
246,1496.73,552.04
247,1496.73,554.25
248,1496.59,556.61
249,1496.5,558.99
250,1496.45,561.18
251,1496.46,563.23
252,1496.44,565.67
253,1496.35,568.02
254,1496.3,570.19
255,1496.29,572.18
256,1496.25,574.55
257,1496.22,576.93
258,1496.2,579.09
259,1496.09,581.13
260,1495.95,583.3
261,1495.94,585.49
262,1495.98,587.86
263,1496.01,590.11
264,1496.02,591.78
265,1496.05,594.08
266,1496.07,596.55
267,1496.08,598.71
268,1496.09,600.78
269,1496.05,603.14
270,1496.03,605.27
271,1496.07,607.42
272,1496.05,609.82
273,1496.04,612.09
274,1496.03,614.26
275,1496.05,616.48
276,1496.06,618.71
277,1496.01,621.02
278,1495.8,623.36
279,1495.79,625.74
280,1495.79,627.84
281,1495.77,629.96
282,1495.68,632.43
283,1495.62,634.88
284,1495.65,637.2
285,1495.64,639.17
286,1495.64,641.33
287,1495.61,644.05
288,1495.4,646.54
289,1495.34,648.42
290,1495.33,650.44
291,1495.28,652.96
292,1495.29,655.49
293,1495.21,657.75
294,1495.18,659.7
295,1495.21,662.07
296,1495.19,664.45
297,1495.19,666.78
298,1495.17,668.7
299,1495.17,670.95
300,1495.13,673.48
301,1495.07,675.68
302,1495.07,677.82
303,1495.06,679.83
304,1495.02,682.19
305,1494.98,684.76
306,1494.99,687.05
307,1495.0,689.03
308,1495.04,691.05
309,1495.02,693.66
310,1495.02,696.21
311,1495.0,698.25
312,1495.0,700.3
313,1494.9,702.71
314,1494.78,705.2
315,1494.76,707.52
316,1494.78,709.36
317,1494.79,711.77
318,1494.79,714.3
319,1494.79,716.47
320,1494.77,718.66
321,1494.67,720.92
322,1494.68,723.23
323,1494.64,725.65
324,1494.59,727.76
325,1494.56,730.02
326,1494.48,732.36
327,1494.47,734.54
328,1494.45,736.83
329,1494.4,739.15
330,1494.37,741.1
331,1494.28,743.34
332,1494.07,745.84
333,1493.98,748.1
334,1493.88,750.02
335,1493.84,752.12
336,1493.78,754.53
337,1493.8,756.64
338,1493.79,758.87
339,1493.78,760.85
340,1493.75,762.91
341,1493.69,765.29
342,1493.64,767.46
343,1493.67,769.44
344,1493.59,771.74
345,1493.53,773.9
346,1493.51,776.25
347,1493.54,778.28
348,1493.56,780.55
349,1493.55,782.86
350,1493.56,784.79
351,1493.52,787.23
352,1493.53,789.57
353,1493.5,791.68
354,1493.51,793.89
355,1493.54,796.19
356,1493.55,798.44
357,1493.57,800.68
358,1493.6,803.02
359,1493.6,805.18
360,1493.59,807.37
361,1493.54,809.83
362,1493.48,812.08
363,1493.49,814.1
364,1493.49,816.41
365,1493.54,818.74
366,1493.57,821.1
367,1493.59,823.21
368,1493.61,825.36
369,1493.63,827.78
370,1493.66,830.05
371,1493.67,832.25
372,1493.67,834.55
373,1493.62,836.55
374,1493.57,838.7
375,1493.35,841.22
376,1493.24,843.7
377,1493.22,845.58
378,1493.24,847.5
379,1493.14,849.88
380,1493.11,852.37
381,1493.07,854.63
382,1493.11,856.58
383,1493.11,858.75
384,1493.08,861.15
385,1493.1,863.53
386,1493.11,865.59
387,1493.13,867.86
388,1492.99,870.15
389,1492.98,872.37
390,1493.0,874.61
391,1493.0,876.99
392,1493.0,879.26
393,1492.98,881.37
394,1492.99,883.47
395,1492.95,886.0
396,1492.87,888.34
397,1492.81,890.27
398,1492.79,892.64
399,1492.68,895.01
400,1492.63,897.07
401,1492.67,899.31
402,1492.67,901.76
403,1492.74,904.01
404,1492.77,906.06
405,1492.77,908.3
406,1492.82,910.53
407,1492.86,912.85
408,1492.9,915.17
409,1492.92,917.24
410,1492.96,919.11
411,1492.95,921.53
412,1492.92,923.99
413,1492.91,925.99
414,1492.87,927.71
415,1492.83,930.06
416,1492.82,932.53
417,1492.84,934.68
418,1492.86,936.3
419,1492.91,938.51
420,1492.92,940.89
421,1492.93,943.29
422,1492.98,945.18
423,1493.01,947.26
424,1493.02,949.62
425,1492.98,951.86
426,1492.98,954.05
427,1492.96,956.22
428,1492.94,958.4
429,1492.97,960.69
430,1492.97,962.96
431,1492.99,965.06
432,1493.02,967.27
433,1493.04,969.61
434,1493.06,972.0
435,1493.04,974.13
436,1493.06,976.07
437,1493.03,978.41
438,1492.96,980.91
439,1492.98,983.16
440,1493.02,985.21
441,1493.01,987.31
442,1493.02,989.66
443,1493.04,992.14
444,1493.06,994.31
445,1493.08,996.43
446,1493.13,998.58
447,1493.11,1000.89
448,1493.14,1003.36
449,1493.17,1005.46
450,1493.17,1007.42
451,1493.17,1009.7
452,1493.19,1012.11
453,1493.21,1014.39
454,1493.16,1016.49
455,1493.13,1018.58
456,1493.11,1020.64
457,1493.12,1023.08
458,1493.15,1025.42
459,1493.18,1027.27
460,1493.18,1029.41
461,1493.17,1031.9
462,1493.13,1034.36
463,1493.16,1036.23
464,1493.18,1038.29
465,1493.18,1040.74
466,1493.19,1043.15
467,1493.22,1045.32
468,1493.23,1047.37
469,1493.26,1049.59
470,1493.26,1051.92
471,1493.34,1054.32
472,1493.36,1056.41
473,1493.33,1058.6
474,1493.36,1060.86
475,1493.36,1063.26
476,1493.33,1065.38
477,1493.23,1067.74
478,1493.21,1069.89
479,1493.21,1071.96
480,1493.24,1074.34
481,1493.21,1076.74
482,1493.2,1078.98
483,1493.2,1080.75
484,1493.19,1083.08
485,1493.03,1085.59
486,1492.98,1087.5
487,1492.94,1089.85
488,1492.94,1092.21
489,1492.9,1094.18
490,1492.87,1095.96
491,1492.87,1098.34
492,1492.89,1100.92
493,1492.92,1102.91
494,1492.93,1104.51
495,1492.96,1106.62
496,1493.01,1109.12
497,1493.02,1111.55
498,1493.04,1113.39
499,1493.08,1115.14
500,1493.13,1117.4
501,1493.16,1119.95
502,1493.17,1122.32
503,1493.18,1124.11
504,1493.2,1126.01
505,1493.24,1128.41
506,1493.23,1130.99
507,1493.25,1133.16
508,1493.28,1135.05
509,1493.28,1137.09
510,1493.34,1139.61
511,1493.36,1141.94
512,1493.39,1144.05
513,1493.41,1146.12
514,1493.44,1148.4
515,1493.47,1150.78
516,1493.51,1153.0
517,1493.51,1155.22
518,1493.53,1157.43
519,1493.56,1159.74
520,1493.6,1161.83
521,1493.65,1164.07
522,1493.66,1166.33
523,1493.64,1168.67
524,1493.6,1170.83
525,1493.6,1172.92
526,1493.56,1175.23
527,1493.52,1177.51
528,1493.51,1179.8
529,1493.45,1181.89
530,1493.42,1184.01
531,1493.47,1186.19
532,1493.5,1188.36
533,1493.51,1190.84
534,1493.47,1192.86
535,1493.44,1194.79
536,1493.42,1197.08
537,1493.43,1199.5
538,1493.45,1201.75
539,1493.48,1203.82
540,1493.46,1205.98
541,1493.49,1208.24
542,1493.52,1210.52
543,1493.54,1212.73
544,1493.58,1214.55
545,1493.56,1215.12
546,1493.58,1215.56
547,1493.55,1215.73
